frequency_mhz,intensity
-16.449999999999996,3.0684857349376787e-14
-16.4,3.8758508149992385e-14
-16.35,4.8913819725025685e-14
-16.299999999999997,6.16762066614575e-14
-16.25,7.770075678517232e-14
-16.199999999999996,9.780348427849968e-14
-16.15,1.2299992777222033e-13
-16.1,1.545527737707558e-13
-16.049999999999997,1.9403055924741307e-13
-16.0,2.4337996118084533e-13
-15.949999999999996,3.0501473194545077e-13
-15.899999999999999,3.8192500792732126e-13
-15.850000000000001,4.778115286300379e-13
-15.799999999999997,5.972502837442581e-13
-15.75,7.45894290740657e-13
-15.699999999999996,9.30720636802449e-13
-15.649999999999999,1.1603326456322296e-12
-15.600000000000001,1.4453291106165242e-12
-15.549999999999997,1.7987550409854677e-12
-15.5,2.2366513802028386e-12
-15.449999999999996,2.7787247747442885e-12
-15.399999999999999,3.449162813999541e-12
-15.350000000000001,4.277625367337763e-12
-15.299999999999997,5.3004488770065466e-12
-15.25,6.562107920134408e-12
-15.199999999999996,8.116987259509891e-12
-15.149999999999999,1.0031528232090658e-11
-15.100000000000001,1.23868259957278e-11
-15.049999999999997,1.528176924406768e-11
-15.0,1.883683194859098e-11
-14.949999999999996,2.3198648013459563e-11
-14.899999999999999,2.8545525040701092e-11
-14.850000000000001,3.509408341148331e-11
-14.799999999999997,4.310724242526743e-11
-14.75,5.290381727356251e-11
-14.699999999999996,6.487004029132782e-11
-14.649999999999999,7.947337854575654e-11
-14.600000000000001,9.727908892390379e-11
-14.549999999999997,1.1897003324973636e-10
-14.5,1.4537037166626102e-10
-14.449999999999996,1.7747386495578783e-10
-14.399999999999999,2.1647764841408067e-10
-14.350000000000001,2.638224945472706e-10
-14.299999999999997,3.2124076292144987e-10
-14.25,3.9081344722673677e-10
-14.199999999999996,4.750379769251878e-10
-14.149999999999999,5.769087193723666e-10
-14.100000000000001,7.000124645070657e-10
-14.049999999999997,8.48641565506149e-10
-14.0,1.0279278636895524e-09
-13.949999999999996,1.2440010541319284e-09
-13.899999999999999,1.504175760957533e-09
-13.850000000000001,1.8171723007779925e-09
-13.799999999999997,2.1933769335207565e-09
-13.75,2.6451483482951146e-09
-13.699999999999996,3.1871782264396814e-09
-13.649999999999999,3.836914985430598e-09
-13.600000000000001,4.615061259592629e-09
-13.549999999999997,5.546157343275668e-09
-13.5,6.659264739487508e-09
-13.449999999999996,7.988766155832975e-09
-13.399999999999999,9.575300808106686e-09
-13.350000000000001,1.1466856772803117e-08
-13.299999999999997,1.3720045420991898e-08
-13.25,1.6401586721020005e-08
-13.199999999999996,1.9590038476060784e-08
-13.149999999999999,2.3377807431168825e-08
-13.100000000000001,2.7873485717252147e-08
-13.049999999999997,3.3204562378298584e-08
-13.0,3.952056684433564e-08
-12.949999999999996,4.699670926652503e-08
-12.899999999999999,5.583809173344211e-08
-12.850000000000001,6.628457466134675e-08
-12.799999999999997,7.861639423024196e-08
-12.75,9.316063976926538e-08
-12.699999999999996,1.1029871464053174e-07
-12.649999999999999,1.3047492060588291e-07
-12.600000000000001,1.5420632407804097e-07
-12.549999999999997,1.8209408326427608e-07
-12.5,2.1483643823303913e-07
-12.449999999999996,2.53243591615992e-07
-12.399999999999999,2.982547362623077e-07
-12.350000000000001,3.509575179727264e-07
-12.299999999999997,4.126102567598341e-07
-12.25,4.846672892334527e-07
-12.199999999999996,5.688078380407444e-07
-12.149999999999999,6.669688621656174e-07
-12.100000000000001,7.813823947003942e-07
-12.049999999999997,9.146179328507362e-07
-12.0,1.0696305088532e-06
-11.949999999999996,1.2498151406198123e-06
-11.899999999999999,1.4590684377404733e-06
-11.850000000000001,1.7018582224551392e-06
-11.799999999999997,1.9833021168442362e-06
-11.75,2.309256147285993e-06
-11.699999999999996,2.686414525703396e-06
-11.649999999999999,3.1224218847828293e-06
-11.599999999999994,3.625999371710317e-06
-11.549999999999997,4.207086142531644e-06
-11.5,4.876997947502239e-06
-11.449999999999996,5.648604657202514e-06
-11.399999999999999,6.536528750202054e-06
